Unnamed: 0,time,bid,ask,last,volume,time_msc,flags,volume_real,Bullish Fractals,Bearish Fractals
0,2024-10-01 05:30:00+05:30,100.724,101.364,100.667,4636823774541230637,65903,59,0.0,,
1,2024-10-02 05:30:00+05:30,101.228,101.663,101.125,4636851851670157525,50124,59,0.0,,
2,2024-10-03 05:30:00+05:30,101.626,102.074,101.613,4636869936437411185,56264,59,0.0,,
3,2024-10-04 05:30:00+05:30,101.885,102.66,101.782,4636906598553127748,53282,59,0.0,,
4,2024-10-06 05:30:00+05:30,102.432,102.559,102.414,4636913353952568803,3885,59,0.0,,
5,2024-10-07 05:30:00+05:30,102.501,102.592,102.337,4636910046621592453,47786,59,0.0,,
6,2024-10-08 05:30:00+05:30,102.455,102.613,102.259,4636910820677778407,42946,59,0.0,,
7,2024-10-09 05:30:00+05:30,102.468,102.905,102.428,4636937771906798453,40024,59,0.0,,
8,2024-10-10 05:30:00+05:30,102.849,103.149,102.659,4636938616331728585,57763,53,0.0,,
9,2024-10-11 05:30:00+05:30,102.861,102.968,102.737,4636937912644286808,34705,59,0.0,,
10,2024-10-13 05:30:00+05:30,102.861,103.032,102.824,4636949804962052833,2836,60,0.0,,
11,2024-10-14 05:30:00+05:30,103.02,103.336,102.935,4636959797323726062,33977,60,0.0,,
12,2024-10-15 05:30:00+05:30,103.162,103.318,102.999,4636964652767074320,39566,60,0.0,,
13,2024-10-16 05:30:00+05:30,103.231,103.579,103.14,4636984215277955711,37217,56,0.0,,
14,2024-10-17 05:30:00+05:30,103.509,103.848,103.403,4637000963039069995,44117,57,0.0,,
15,2024-10-18 05:30:00+05:30,103.746,103.76,103.397,4636976333978607813,32250,59,0.0,,
16,2024-10-20 05:30:00+05:30,103.412,103.462,103.386,4636979289465863274,2624,59,0.0,,
17,2024-10-21 05:30:00+05:30,103.438,103.987,103.39,4637014051625487041,32529,58,0.0,,
18,2024-10-22 05:30:00+05:30,103.933,104.097,103.784,4637023762512183558,34538,59,0.0,,
19,2024-10-23 05:30:00+05:30,104.071,104.542,104.067,4637047969360180675,37582,59,0.0,,
20,2024-10-24 05:30:00+05:30,104.414,104.42,103.957,4637020314443718853,44215,59,0.0,,104.414
21,2024-10-25 05:30:00+05:30,104.02,104.31,103.905,4637036780729856426,33426,59,0.0,,
22,2024-10-27 05:30:00+05:30,104.298,104.379,104.275,4637043887973018370,4116,59,0.0,,
23,2024-10-28 05:30:00+05:30,104.358,104.545,104.084,4637035021511251984,36379,59,0.0,,
24,2024-10-29 05:30:00+05:30,104.231,104.611,104.183,4637034247455066030,44922,59,0.0,,
25,2024-10-30 05:30:00+05:30,104.221,104.412,103.945,4637023410668462670,46673,58,0.0,,
26,2024-10-31 05:30:00+05:30,104.066,104.19,103.789,4637008914707162071,54769,58,0.0,,
27,2024-11-01 05:30:00+05:30,103.86,104.319,103.642,4637036499254879715,46229,58,0.0,,
28,2024-11-03 05:30:00+05:30,103.828,103.932,103.78,4637012433144370954,3281,60,0.0,,
29,2024-11-04 05:30:00+05:30,103.911,103.93,103.544,4637010955400743223,41953,58,0.0,,
30,2024-11-05 05:30:00+05:30,103.888,103.928,103.295,4636971126691538665,36542,58,0.0,103.928,
31,2024-11-06 05:30:00+05:30,103.322,105.42,103.322,4637093779412640334,147290,58,0.0,,
32,2024-11-07 05:30:00+05:30,105.067,105.228,104.153,4637045295347901923,73938,58,0.0,,
33,2024-11-08 05:30:00+05:30,104.387,105.181,104.311,4637083505575990395,55468,58,0.0,,
34,2024-11-10 05:30:00+05:30,104.897,105.008,104.897,4637087446225664344,3239,63,0.0,,
35,2024-11-11 05:30:00+05:30,104.99,105.68,104.905,4637116367779521364,45686,59,0.0,,
36,2024-11-12 05:30:00+05:30,105.388,106.153,105.388,4637155774276260856,54355,59,0.0,,
37,2024-11-13 05:30:00+05:30,105.961,106.509,105.667,4637189199429745246,69468,58,0.0,,
38,2024-11-14 05:30:00+05:30,106.433,107.047,106.346,4637219176514764931,71728,58,0.0,,
39,2024-11-15 05:30:00+05:30,106.859,106.932,106.292,4637201654697464693,67570,59,0.0,,
40,2024-11-17 05:30:00+05:30,106.649,106.717,106.616,4637207847146952327,3011,78,0.0,,
41,2024-11-18 05:30:00+05:30,106.686,106.785,106.099,4637172662774863495,55292,59,0.0,,
42,2024-11-19 05:30:00+05:30,106.187,106.613,106.054,4637163725944352932,70371,59,0.0,,
43,2024-11-20 05:30:00+05:30,106.062,106.896,106.041,4637199684372627718,52836,57,0.0,,
44,2024-11-21 05:30:00+05:30,106.571,107.131,106.422,4637231491044996022,65264,59,0.0,,
45,2024-11-22 05:30:00+05:30,107.039,108.09,106.889,4637258160799039357,85713,59,0.0,,
46,2024-11-24 05:30:00+05:30,106.826,107.006,106.749,4637221991264532038,5637,84,0.0,,
47,2024-11-25 05:30:00+05:30,106.899,107.333,106.548,4637253094249458565,76177,59,0.0,,
48,2024-11-26 05:30:00+05:30,107.344,107.532,106.461,4637215658077556048,88687,59,0.0,,107.344
49,2024-11-27 05:30:00+05:30,106.798,106.896,105.822,4637164500000538886,77549,59,0.0,,
50,2024-11-28 05:30:00+05:30,106.084,106.394,106.018,4637162318569469379,47908,58,0.0,,
51,2024-11-29 05:30:00+05:30,106.039,106.101,105.581,4637138815408914039,65774,59,0.0,,
52,2024-12-01 05:30:00+05:30,105.747,106.115,105.743,4637161403775795069,4279,38,0.0,,
53,2024-12-02 05:30:00+05:30,106.028,106.723,106.013,4637184343986396987,85421,29,0.0,,
54,2024-12-03 05:30:00+05:30,106.354,106.591,106.07,4637181388499141526,66495,29,0.0,,
55,2024-12-04 05:30:00+05:30,106.318,106.708,106.073,4637182162555327480,78395,29,0.0,,
56,2024-12-05 05:30:00+05:30,106.327,106.362,105.679,4637138604302681506,62259,29,0.0,,
57,2024-12-06 05:30:00+05:30,105.703,106.146,105.395,4637155492801284145,67568,29,0.0,,
58,2024-12-08 05:30:00+05:30,105.953,105.991,105.923,4637154718745098191,3201,41,0.0,105.991,
59,2024-12-09 05:30:00+05:30,105.94,106.201,105.779,4637170410975049810,51440,29,0.0,,
60,2024-12-10 05:30:00+05:30,106.161,106.626,106.023,4637183429192722678,52455,29,0.0,,
61,2024-12-11 05:30:00+05:30,106.339,106.796,106.252,4637196869622860612,71556,29,0.0,,
62,2024-12-12 05:30:00+05:30,106.535,107.028,106.337,4637225580070485098,75307,29,0.0,,
63,2024-12-13 05:30:00+05:30,106.94,107.173,106.7,4637223820851880657,53656,29,0.0,,
64,2024-12-15 05:30:00+05:30,106.974,107.023,106.841,4637219457989741642,2744,35,0.0,,
65,2024-12-16 05:30:00+05:30,106.86,107.156,106.729,4637214602546393383,51284,29,0.0,,
66,2024-12-17 05:30:00+05:30,106.783,107.071,106.677,4637224243064345723,52091,28,0.0,,
67,2024-12-18 05:30:00+05:30,106.925,108.256,106.798,4637316777962939351,74289,29,0.0,,
68,2024-12-19 05:30:00+05:30,108.237,108.472,107.804,4637329444336891331,82416,29,0.0,,
69,2024-12-20 05:30:00+05:30,108.415,108.534,107.569,4637283704653175849,67564,29,0.0,,108.415
70,2024-12-22 05:30:00+05:30,107.75,107.788,107.679,4637283915759408382,2650,34,0.0,,
71,2024-12-23 05:30:00+05:30,107.769,108.268,107.666,4637305941176335991,45821,29,0.0,,
72,2024-12-24 05:30:00+05:30,108.088,108.288,108.026,4637307630026196255,34415,29,0.0,,
73,2024-12-25 05:30:00+05:30,108.008,108.11,107.995,4637305448595126747,2349,68,0.0,,
74,2024-12-26 05:30:00+05:30,108.089,108.275,107.996,4637303407901545595,30797,59,0.0,,
75,2024-12-27 05:30:00+05:30,108.045,108.176,107.834,4637295104389732631,38346,59,0.0,,
76,2024-12-29 05:30:00+05:30,107.887,107.952,107.872,4637296300658383651,2087,73,0.0,,
77,2024-12-30 05:30:00+05:30,107.943,108.349,107.706,4637301437576708620,50387,60,0.0,,
78,2024-12-31 05:30:00+05:30,108.028,108.558,107.834,4637330992449263239,47705,60,0.0,,
79,2025-01-01 05:30:00+05:30,108.382,108.505,108.379,4637335003467681366,2506,67,0.0,,
80,2025-01-02 05:30:00+05:30,108.495,109.531,108.235,4637383557901163954,69316,59,0.0,,
81,2025-01-03 05:30:00+05:30,109.185,109.207,108.847,4637359984371864437,41446,60,0.0,,
82,2025-01-05 05:30:00+05:30,108.854,108.932,108.824,4637364769446468518,2489,87,0.0,,
83,2025-01-06 05:30:00+05:30,108.932,109.039,107.716,4637319311237729747,86544,59,0.0,,
84,2025-01-07 05:30:00+05:30,108.27,108.679,107.815,4637346966154191569,66038,55,0.0,,
85,2025-01-08 05:30:00+05:30,108.666,109.354,108.521,4637369624889816777,66901,59,0.0,,
86,2025-01-09 05:30:00+05:30,108.996,109.349,108.908,4637382080157536223,45601,60,0.0,,
87,2025-01-10 05:30:00+05:30,109.164,109.964,109.04,4637409453599021335,75885,60,0.0,,
88,2025-01-12 05:30:00+05:30,109.587,109.646,109.572,4637414731254834659,2649,55,0.0,,
89,2025-01-13 05:30:00+05:30,109.642,110.151,109.235,4637397068700046066,70121,60,0.0,,109.642
90,2025-01-14 05:30:00+05:30,109.378,109.734,109.109,4637382291263768756,73160,60,0.0,,
91,2025-01-15 05:30:00+05:30,109.167,109.384,108.559,4637370328577258553,70132,60,0.0,,
92,2025-01-16 05:30:00+05:30,109.008,109.374,108.793,4637365824977631183,71568,60,0.0,,
93,2025-01-17 05:30:00+05:30,108.942,109.393,108.797,4637394042844046426,59302,60,0.0,,
94,2025-01-19 05:30:00+05:30,109.224,109.434,109.219,4637390665144325898,2929,75,0.0,,
95,2025-01-20 05:30:00+05:30,109.301,109.322,107.88,4637296933977081250,93633,60,0.0,,
96,2025-01-21 05:30:00+05:30,107.953,108.767,107.834,4637307841132428788,96147,56,0.0,,
97,2025-01-22 05:30:00+05:30,108.109,108.257,107.715,4637316215012985930,58922,60,0.0,,
98,2025-01-23 05:30:00+05:30,108.229,108.505,107.889,4637307559657452077,65683,60,0.0,,
